time_idx,hour_of_day,hour_of_day_cos,hour_of_day_sin,month_of_year,month_of_year_cos,month_of_year_sin,season_of_year,season_of_year_cos,season_of_year_sin,sunposition_thetaZ,sunposition_solarAzimuth,sunposition_extraTerr,sunposition_solarHeight,clearsky_diffuse,clearsky_direct,clearsky_global,clearsky_diffuse_agg,clearsky_direct_agg,clearsky_global_agg,Albedo,WindComponentUat0,WindComponentVat0,WindComponentUat100,WindComponentVat100,DewpointTemperatureAt0,TemperatureAt0,PotentialVorticityAt1000,PotentialVorticityAt950,RelativeHumidityAt1000,RelativeHumidityAt950,RelativeHumidityAt0,SnowDensityAt0,SnowDepthAt0,SnowfallPlusStratiformSurfaceAt0,SurfacePressureAt0,SolarRadiationGlobalAt0,SolarRadiationDirectAt0,SolarRadiationDiffuseAt0,TotalCloudCoverAt0,LowerWindSpeed,LowerWindDirection,LowerWindDirectionMath,LowerWindDirectionCos,LowerWindDirectionSin,UpperWindSpeed,UpperWindDirection,UpperWindDirectionMath,UpperWindDirectionCos,UpperWindDirectionSin,power_normed
1,0,1,0,0.909090909,0.01733238,0.258819045,1,0,0,1,0.239798929,3.55E-18,0,0,0,0,0,0,0,0.038155415,0.460674519,0.758314687,0.487755629,0.763080765,0.687411908,0.473290069,0.179388916,0.348544568,0.907665092,0.938804937,0.951624659,1.30E-07,0,1.76E-19,0.433993042,0,0,5.21E-04,1,0.458204058,0.554228642,0.195738159,0.667024328,0.971277945,0.494272072,0.56342005,0.186511832,0.694225556,0.960734686,0
2,0.142857143,0.957823644,0.399332025,0.909090909,0.01733238,0.258819045,1,0,0,1,0.240050708,3.56E-18,0,0,0,0,0,0,0,0.031405352,0.642463069,0.454828358,0.660618656,0.435388229,0.643931168,0.448161486,0.198596184,0.337213275,0.881731804,0.885328707,0.927560672,1.30E-07,0,1.76E-19,0.399080015,0,0,5.21E-04,1,0.432281047,0.726648212,0.023316962,0.994588577,0.573364025,0.456086248,0.732230069,0.017730006,0.996886768,0.555709544,0
3,0.285714286,0.838278027,0.732543693,0.909090909,0.01733238,0.258819045,1,0,0,1,0.240302159,3.56E-18,0,0,0,0,0,0,0,0.031405352,0.683628769,0.528069518,0.708263604,0.509766963,0.561414438,0.39553146,0.212255837,0.353862184,0.829865227,0.849677886,0.893763996,1.30E-07,0,1.76E-19,0.427728386,0,0,5.21E-04,1,0.513295633,0.702088487,0.047876918,0.977443874,0.64848389,0.54554333,0.707815601,0.042140396,0.982548397,0.630946757,0
4,0.428571429,0.661157201,0.944462683,0.909090909,0.01733238,0.258819045,1,0,0,0.705699447,0.363554278,0.375672268,0.294300553,0.450238327,0.264240731,0.303864876,0.256623429,0.114603956,0.144124033,0.031405352,0.776617586,0.602992346,0.770722812,0.579985326,0.551408091,0.392366082,0.222008237,0.356138264,0.823381905,0.867503297,0.881760966,1.30E-07,0,1.76E-19,0.467380492,0.071578947,0.01770972,0.134254432,0.71875,0.676684313,0.691446325,0.058519181,0.966460154,0.680041757,0.663652858,0.693618618,0.056335008,0.968971418,0.673394971,0.014559781
5,0.571428571,0.455788372,1,0.909090909,0.01733238,0.258819045,1,0,0,0.611993888,0.544853414,0.488874782,0.388006112,0.538696218,0.405148223,0.436853055,0.532569725,0.404609924,0.434981682,0.031405352,0.770214444,0.575413606,0.75862958,0.550990998,0.524919024,0.41730961,0.258351615,0.393527049,0.661298853,0.724900015,0.770379146,1.30E-07,0,1.76E-19,0.484514882,0.254847645,0.119573901,0.366006257,0.4140625,0.656100991,0.698191687,0.051773756,0.973667063,0.66012379,0.634275557,0.700474869,0.049479902,0.976000797,0.653046559,0.152064063
6,0.714285714,0.256175975,0.88995992,0.909090909,0.01733238,0.258819045,1,0,0,0.86132354,0.710576754,0.179489518,0.13867646,0.280643044,0.096953355,0.133608182,0.439253751,0.271709007,0.308244361,0.031405352,0.710566874,0.655256236,0.72636632,0.635477247,0.492483501,0.419674424,0.270317231,0.394350153,0.570532344,0.623889357,0.703223863,1.30E-07,0,1.76E-19,0.496293003,0.257950139,0.194007989,0.227580813,0.8671875,0.61358461,0.666634985,0.083330755,0.932864009,0.750257548,0.630121186,0.671361661,0.078588248,0.940238441,0.737044554,0.117406075
7,0.857142857,0.095371312,0.632562594,0.909090909,0.01733238,0.258819045,1,0,0,1,0.758695792,3.58E-18,0,0,0,0,0.056028449,0.011489559,0.020441155,0.031405352,0.668422514,0.681782307,0.697702683,0.66912706,0.509941366,0.391629885,0.250348779,0.389934643,0.687232141,0.736783622,0.802464295,1.30E-07,0,1.76E-19,0.505546966,0.011745152,0.002130493,0.023983316,0.5625,0.577523125,0.65011871,0.099847186,0.904622789,0.793735387,0.614072754,0.65648298,0.093464444,0.916199596,0.777088257,0.003782688
8,1,0,0.270427199,0.909090909,0.01733238,0.258819045,1,0,0,1,0.758446007,3.58E-18,0,0,0,0,0,0,0,0.031405352,0.589322463,0.693924564,0.621094959,0.68954411,0.4986597,0.380308009,0.235362955,0.377369227,0.700198785,0.742725425,0.807671993,1.30E-07,0,1.76E-19,0.500724133,0,0,5.21E-04,0.9765625,0.49596617,0.623620616,0.12634553,0.850370708,0.856707766,0.537325976,0.631083699,0.118859483,0.866902238,0.839680374,0
9,0,1,0,0.909090909,0.01733238,0.258819045,1,0,0,1,0.24180388,3.59E-18,0,0,0,0,0,0,0,0.031405352,0.494542118,0.75206177,0.530813056,0.762204695,0.486993174,0.374249471,0.231395085,0.374913793,0.680748819,0.724900015,0.79952027,1.30E-07,0,1.76E-19,0.448018297,0,0,5.21E-04,1,0.47094183,0.571426474,0.178540165,0.716857961,0.950524873,0.522476203,0.581909768,0.168025201,0.7462992,0.935128394,0
10,0.142857143,0.957823644,0.399332025,0.909090909,0.01733238,0.258819045,1,0,0,1,0.242052988,3.59E-18,0,0,0,0,0,0,0,0.031299995,0.439301739,0.93921159,0.46296827,0.935081668,0.558178768,0.394182436,0.225033536,0.381702534,0.823381905,0.83779428,0.890678485,1.30E-07,0,1.76E-19,0.331186703,0,0,5.21E-04,1,0.663493757,0.529184221,0.220782817,0.591135439,0.991624194,0.687923226,0.536090335,0.213836983,0.612678004,0.987138263,0
